"시도별","경제활동별",2021 p),2021 p),2021 p)
"시도별","경제활동별",명목,실질,실질기여도
"충청북도","　광업",182092,183220,0.00
"충청북도","　제조업",33815888,33700820,5.14
"충청북도","　　음식료품 및 담배제조업",3061457,2758718,0.03
"충청북도","　　섬유 의복 및 가죽 제품 제조업",324088,301318,0.00
"충청북도","　　목재종이인쇄 및 복제업",868483,756722,-0.05
"충청북도","　　석탄 및 석유 화학제품 제조업",8050084,7465732,1.16
"충청북도","　　비금속광물 및 금속제품 제조업",3930738,3420591,0.00
"충청북도","　　전기 전자 및 정밀기기 제조업",14359587,15481644,2.88
"충청북도","　　기계 운송장비 및 기타 제품 제조업",3221451,3450822,1.11
"충청북도","전기, 가스, 증기 및 공기 조절 공급업",527466,756874,0.01
"충청북도","건설업",3798128,3039857,-0.18
"충청북도","서비스업",28857718,26211655,1.56
"충청북도","　도매 및 소매업",2253051,2241965,0.05
"충청북도","　운수 및 창고업",1378957,1384353,0.07
"충청북도","　숙박 및 음식점업",1124838,986603,0.03
"충청북도","　정보통신업",774192,888513,0.13
"충청북도","　금융 및 보험업",2181448,2110612,0.16
"충청북도","　부동산업",2847011,2711377,0.09
"충청북도","　사업서비스업",3794709,3173210,0.13
"충청북도","　공공 행정, 국방 및 사회보장 행정",6238769,5380765,0.40
"충청북도","　교육 서비스업",3698393,3360771,0.24
"충청북도","　보건업 및 사회복지 서비스업",2601395,2395717,0.15
"충청북도","　문화 및 기타서비스업",1964955,1592166,0.11
"충청남도","지역내총생산(시장가격)",124586926,118002148,4.65
"충청남도","순생산물세",11880520,10251352,0.34
"충청남도","총부가가치(기초가격)",112706406,107813170,4.30
"충청남도","농업, 임업 및 어업",4949628,4292620,0.31
"충청남도","광제조업",60039608,58446728,3.10
"충청남도","　광업",144886,146043,0.02
"충청남도","　제조업",59894722,58300356,3.08
"충청남도","　　음식료품 및 담배제조업",2662242,2389933,0.02
"충청남도","　　섬유 의복 및 가죽 제품 제조업",329381,306669,-0.03
