LCLAS_NM,MLSFC_NM,SIGNGU_NM,AREA_ARBY_STDIZ_FCLTY_SCORE
문화예술,전시시설,경상북도 성주군,0.51943
문화예술,전시시설,경상북도 칠곡군,2.09962
문화예술,전시시설,경상북도 예천군,0.84942
문화예술,전시시설,경상북도 봉화군,0.25402
문화예술,전시시설,경상북도 울진군,0.42815
문화예술,전시시설,경상북도 울릉군,1.68569
문화예술,전시시설,경상남도 창원시,5.53329
문화예술,전시시설,경상남도 진주시,3.8316
문화예술,전시시설,경상남도 통영시,1.12608
문화예술,전시시설,경상남도 사천시,2.11805
문화예술,전시시설,경상남도 김해시,6.43188
문화예술,전시시설,경상남도 밀양시,1.02567
문화예술,전시시설,경상남도 거제시,3.33024
문화예술,전시시설,경상남도 양산시,3.79659
문화예술,전시시설,경상남도 의령군,0.60821
문화예술,전시시설,경상남도 함안군,1.21754
문화예술,전시시설,경상남도 창녕군,1.13381
문화예술,전시시설,경상남도 고성군,0.78823
문화예술,전시시설,경상남도 남해군,0.91747
문화예술,전시시설,경상남도 하동군,0.66819
문화예술,전시시설,경상남도 산청군,0.47588
문화예술,전시시설,경상남도 함양군,0.47977
문화예술,전시시설,경상남도 거창군,0.70071
문화예술,전시시설,경상남도 합천군,0.59652
문화예술,전시시설,제주특별자치도 제주시,3.51762
문화예술,전시시설,제주특별자치도 서귀포시,2.2525
문화예술,지역문화시설,서울특별시 종로구,100
문화예술,지역문화시설,서울특별시 중구,100
문화예술,지역문화시설,서울특별시 용산구,19.37222
문화예술,지역문화시설,서울특별시 성동구,29.92351
문화예술,지역문화시설,서울특별시 광진구,43.14445
문화예술,지역문화시설,서울특별시 동대문구,38.06221
문화예술,지역문화시설,서울특별시 중랑구,46.04643
문화예술,지역문화시설,서울특별시 성북구,61.51699
문화예술,지역문화시설,서울특별시 강북구,36.05098
문화예술,지역문화시설,서울특별시 도봉구,80.20535
문화예술,지역문화시설,서울특별시 노원구,41.44005
문화예술,지역문화시설,서울특별시 은평구,45.57013
문화예술,지역문화시설,서울특별시 서대문구,63.69021
문화예술,지역문화시설,서울특별시 마포구,25.88033
문화예술,지역문화시설,서울특별시 양천구,64.48147
문화예술,지역문화시설,서울특별시 강서구,30.79182
문화예술,지역문화시설,서울특별시 구로구,38.48556
문화예술,지역문화시설,서울특별시 금천구,80.65585
문화예술,지역문화시설,서울특별시 영등포구,20.57311
문화예술,지역문화시설,서울특별시 동작구,42.58469
문화예술,지역문화시설,서울특별시 관악구,30.09403
문화예술,지역문화시설,서울특별시 서초구,14.72599
문화예술,지역문화시설,서울특별시 강남구,26.41391
문화예술,지역문화시설,서울특별시 송파구,29.70191
문화예술,지역문화시설,서울특별시 강동구,31.51591
문화예술,지역문화시설,부산광역시 중구,100
문화예술,지역문화시설,부산광역시 서구,21.00713
문화예술,지역문화시설,부산광역시 동구,63.65697
문화예술,지역문화시설,부산광역시 영도구,6.70449
문화예술,지역문화시설,부산광역시 부산진구,29.98867
문화예술,지역문화시설,부산광역시 동래구,72.14351
문화예술,지역문화시설,부산광역시 남구,17.18938
문화예술,지역문화시설,부산광역시 북구,22.50205
문화예술,지역문화시설,부산광역시 해운대구,13.92319
문화예술,지역문화시설,부산광역시 사하구,9.79031
문화예술,지역문화시설,부산광역시 금정구,14.11843
문화예술,지역문화시설,부산광역시 강서구,2.46652
문화예술,지역문화시설,부산광역시 연제구,28.77433
문화예술,지역문화시설,부산광역시 수영구,38.5124
문화예술,지역문화시설,부산광역시 사상구,18.1192
문화예술,지역문화시설,부산광역시 기장군,3.63429
문화예술,지역문화시설,대구광역시 중구,100
문화예술,지역문화시설,대구광역시 동구,10.67891
문화예술,지역문화시설,대구광역시 서구,62.79173
문화예술,지역문화시설,대구광역시 남구,60.15005
문화예술,지역문화시설,대구광역시 북구,18.01451
문화예술,지역문화시설,대구광역시 수성구,13.00729
문화예술,지역문화시설,대구광역시 달서구,20.39662
문화예술,지역문화시설,대구광역시 달성군,4.96909
문화예술,지역문화시설,인천광역시 중구,13.56232
문화예술,지역문화시설,인천광역시 동구,66.48623
문화예술,지역문화시설,인천광역시 미추홀구,78.23684
문화예술,지역문화시설,인천광역시 연수구,18.37873
문화예술,지역문화시설,인천광역시 남동구,44.05433
문화예술,지역문화시설,인천광역시 부평구,72.87525
문화예술,지역문화시설,인천광역시 계양구,46.83792
문화예술,지역문화시설,인천광역시 서구,23.48064
문화예술,지역문화시설,인천광역시 강화군,1.47212
문화예술,지역문화시설,인천광역시 옹진군,0.90309
문화예술,지역문화시설,광주광역시 동구,25.85206
문화예술,지역문화시설,광주광역시 서구,32.41779
문화예술,지역문화시설,광주광역시 남구,30.44596
문화예술,지역문화시설,광주광역시 북구,14.02601
